mgra,TAZ,hh,pop,emp_self,emp_ag,emp_const_non_bldg_prod,emp_const_non_bldg_office,emp_utilities_prod,emp_utilities_office,emp_const_bldg_prod,emp_const_bldg_office,emp_mfg_prod,emp_mfg_office,emp_whsle_whs,emp_trans,emp_retail,emp_prof_bus_svcs,emp_prof_bus_svcs_bldg_maint,emp_pvt_ed_k12,emp_pvt_ed_post_k12_oth,emp_health,emp_personal_svcs_office,emp_amusement,emp_hotel,emp_restaurant_bar,emp_personal_svcs_retail,emp_religious,emp_pvt_hh,emp_state_local_gov_ent,emp_scrap_other,emp_fed_non_mil,emp_fed_mil,emp_state_local_gov_blue,emp_state_local_gov_white,emp_public_ed,emp_own_occ_dwell_mgmt,emp_fed_gov_accts,emp_st_lcl_gov_accts,emp_cap_accts,emp_total,collegeEnroll,otherCollegeEnroll,AdultSchEnrl,EnrollGradeKto8,EnrollGrade9to12,PrivateEnrollGradeKto8,ech_dist,hch_dist,parkarea,hstallsoth,hstallssam,hparkcost,numfreehrs,dstallsoth,dstallssam,dparkcost,mstallsoth,mstallssam,mparkcost,TotInt,DUDen,EmpDen,PopDen,RetEmpDen,IntDenBin,EmpDenBin,DuDenBin,POINT_X,POINT_Y,ACRES,HotelRoomTotal,mall_flag,beachAcres
2930,3740,52,148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,233,0,0,0,0,1387,617,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.12,2.88,6.48,0.66,1,1,1,852709.5,520194.89,48.72,0,0,0
2931,3741,181,675,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,5,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.25,0.5,10.91,0.04,1,1,1,852730.89,524496.12,46.76,0,0,0
2932,3741,103,487,0,0,0,0,0,0,0,0,0,0,2,11,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.91,1.3,9.71,0.02,1,1,1,851964.02,522927.36,80.49,0,0,0
2933,3741,208,710,0,0,0,0,0,0,0,0,0,0,0,3,2,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.42,0.75,14.95,0.12,1,1,1,851484.43,524451.02,56.39,0,0,0
2934,3741,265,844,0,1,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.94,0.6,16.85,0.18,1,1,1,851554.46,526350.62,48.11,0,0,0
2935,3741,294,991,0,0,0,0,0,0,0,0,0,0,3,0,7,10,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,5.24,0.38,17.48,0.05,1,1,2,852764.38,526249.7,45.35,0,0,0
2936,3742,219,791,0,0,3,0,0,0,0,0,9,0,0,0,2,13,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.82,0.98,9.04,0.02,1,1,1,854590.85,524014.14,39.34,0,0,0
2937,3742,101,516,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.46,0.6,7.97,0.01,1,1,1,855574.3,524941.25,20.35,0,0,0
2938,3742,36,192,0,0,7,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,66,0,0,0,0,199,205,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.04,1.21,6.67,0.01,1,1,1,854602.54,523029.65,78.55,0,0,0
2939,3742,380,1224,0,0,7,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,4.42,0.58,14.58,0.05,1,1,1,854342.43,525562.53,114.28,0,0,0
2940,3742,502,1665,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3.02,0.19,9.96,0.03,1,1,1,855137,526660.39,30.83,0,0,0
2941,3743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.11,0.06,6.94,0.01,1,1,1,857270.49,527117.06,3.52,0,0,0
2942,3743,114,315,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2.88,0.94,8.71,0.01,1,1,1,856783.38,523094.08,51.25,0,0,0
