TAZ_REG,TAZ_OLD05,TAZ_MPO,COUNTY,CENSUSTAZ,TAZ_BF,FIX,AREA,F_NETAREA,CBD,HM_ROOMS
88,88,88,1,,0,0,2542460.00000000000,0.88820,0,0
89,89,89,1,,0,0,4921120.00000000000,0.94110,0,0
1164,1164,1164,1,,0,0,2213060.00000000000,0.77380,0,0
1163,1163,1163,1,,0,0,1243700.00000000000,0.93110,0,0
90,90,90,1,,0,0,639723.00000000000,0.76340,0,0
1158,1158,1158,1,,0,0,421087.00000000000,0.75940,0,0
82,82,82,1,,0,0,2173670.00000000000,0.61450,0,0
1159,1159,1159,1,,0,0,2634660.00000000000,0.82420,0,0
1171,1171,1171,1,,0,0,5017050.00000000000,0.80150,0,0
800,800,800,1,,0,0,14404200.00000000000,0.64390,0,428
1477,1477,1477,1,,0,0,40492000.00000000000,0.53130,0,0
1479,1479,1479,1,,0,0,1586520.00000000000,0.82910,0,0
1478,1478,1478,1,,0,0,48175100.00000000000,0.67650,0,0
99,99,99,1,,0,0,2687860.00000000000,0.74440,0,160
1522,1522,1522,1,,0,0,4943900.00000000000,0.87390,0,0
893,893,893,1,,0,0,7698550.00000000000,0.87520,0,0
1165,1165,1165,1,,0,0,3226520.00000000000,0.86210,0,0
91,91,91,1,,0,0,10543400.00000000000,0.84570,0,0
1167,1167,1167,1,,0,0,1471020.00000000000,0.80180,0,0
1521,1521,1521,1,,0,0,3858230.00000000000,0.76100,0,0
892,892,892,1,,0,0,3918090.00000000000,0.82830,0,0
1168,1168,1168,1,,0,0,3003790.00000000000,0.73300,0,0
1166,1166,1166,1,,0,0,1047910.00000000000,0.82000,0,0
92,92,92,1,,0,0,4492560.00000000000,0.83280,0,0
1650,1650,1650,1,,0,0,46675800.00000000000,0.95760,0,0
1651,1651,1651,1,,0,0,27919800.00000000000,0.92210,0,0
1648,1648,1648,1,,0,0,11734200.00000000000,0.95540,0,0
1645,1645,1645,1,,0,0,7019310.00000000000,0.94410,0,0
1608,1608,1608,1,,0,0,12804300.00000000000,0.94950,0,0
1646,1646,1646,1,,0,0,7739080.00000000000,0.68690,0,0
1647,1647,1647,1,,0,0,9778820.00000000000,0.69320,0,0
1607,1607,1607,1,,0,0,20984200.00000000000,0.90260,0,0
1644,1644,1644,1,,0,0,25126000.00000000000,0.92610,0,0
1643,1643,1643,1,,0,0,110828000.00000000000,0.96720,0,0
1172,1172,1172,1,,0,0,14199700.00000000000,0.87210,0,0
110,110,110,1,,0,0,24961200.00000000000,0.67830,0,0
1181,1181,1181,1,,0,0,8547020.00000000000,0.87150,0,0
130,130,130,1,,0,0,5653390.00000000000,0.89280,0,0
121,121,121,1,,0,0,11206700.00000000000,0.74990,0,0
1176,1176,1176,1,,0,0,8657700.00000000000,0.78700,0,0
122,122,122,1,,0,0,5048000.00000000000,0.74760,0,0
1177,1177,1177,1,,0,0,6880660.00000000000,0.76840,0,0
111,111,111,1,,0,0,5273210.00000000000,0.81530,0,0
132,132,132,1,,0,0,4416600.00000000000,0.88230,0,0
1182,1182,1182,1,,0,0,6957300.00000000000,0.99950,0,0
1179,1179,1179,1,,0,0,7649240.00000000000,0.78860,0,0
1178,1178,1178,1,,0,0,4550820.00000000000,0.76760,0,0
1180,1180,1180,1,,0,0,2471160.00000000000,0.75260,0,0
129,129,129,1,,0,0,5936750.00000000000,0.74760,0,0
116,116,116,1,,0,0,6284690.00000000000,0.92700,0,0
1175,1175,1175,1,,0,0,11867900.00000000000,0.89190,0,0
133,133,133,1,,0,0,3301970.00000000000,0.82660,0,116
1183,1183,1183,1,,0,0,6275510.00000000000,0.81820,0,0
1184,1184,1184,1,,0,0,3930860.00000000000,0.83600,0,0
1186,1186,1186,1,,0,0,3245380.00000000000,0.74380,0,0
134,134,134,1,,0,0,4464890.00000000000,0.83070,0,0
1185,1185,1185,1,,0,0,6482510.00000000000,0.86360,0,0
1655,1655,1655,1,,0,0,29029800.00000000000,0.86150,0,0
1654,1654,1654,1,,0,0,53098100.00000000000,0.92360,0,0
1653,1653,1653,1,,0,0,11048300.00000000000,0.90360,0,0
1609,1609,1609,1,,0,0,121985000.00000000000,0.91110,0,0
1188,1188,1188,1,,0,0,4498350.00000000000,0.83510,0,0
141,141,141,1,,0,0,6791430.00000000000,0.86580,0,0
1189,1189,1189,1,,0,0,1585980.00000000000,0.91160,0,0
142,142,142,1,,0,0,8573070.00000000000,0.86100,0,0
155,155,155,1,,0,0,2441480.00000000000,0.79090,0,0
1190,1190,1190,1,,0,0,4162250.00000000000,0.75420,0,0
1669,1669,1669,1,,0,0,3626290.00000000000,0.87680,0,0
1666,1666,1666,1,,0,0,7551190.00000000000,0.93530,0,0
1668,1668,1668,1,,0,0,16292700.00000000000,0.95580,0,0
1665,1665,1665,1,,0,0,2783610.00000000000,0.58740,0,0
1664,1664,1664,1,,0,0,2954240.00000000000,0.80680,0,0
1663,1663,1663,1,,0,0,25922700.00000000000,0.93340,0,0
1667,1667,1667,1,,0,0,12317800.00000000000,0.89810,0,0
1662,1662,1662,1,,0,0,28639200.00000000000,0.93780,0,0
1611,1611,1611,1,,0,0,71830800.00000000000,0.96520,0,0
1659,1659,1659,1,,0,0,83872200.00000000000,0.92320,0,0
1658,1658,1658,1,,0,0,60985700.00000000000,0.98100,0,0
1215,1215,1215,1,,0,0,436853.00000000000,0.68660,0,0
1214,1214,1214,1,,0,0,654357.00000000000,0.82750,0,0
