"ID","Length","Dir","A","B","CONUM","DISTANCE","SCREENLINE","NUM_LANES","TWOWAY","DIRCODE","LOCATION","SEGID","CARTOLL","SVCMINUTES","SVCSECONDS","FTC2","DIVIDED","LEFTTURN","TDSECID","HOT","REVERSIBLE","ISTOLL","COUNT10","ISRCTOLLLI","ISREQTLINK","FTG","ATG","CNT10_EA","CNT10_AM","CNT10_MID","CNT10_PM","CNT10_EVE","CNT10_TRK","LOCTN","AM_VCLOSE","OF_VCLOSE","PM_VCLOSE","CYCLELENGT","RMPMTRIND","RIGHTTURN","AUXLNDIST","FTC1","CAPACITY_D","CAPACITY","CONFAC24H","BPRCOEFFIC","BPREXPONEN","CONFACAMP","CONFACPMP","CONFACOFP","LOSCCAP","LOSCCAP_AM","LOSCCAP_PM","LOSCCAP_OF","TOLL_ACC","TOLL_DEC","RCTOLL","FFSPD","POSTEDSPEE","FREEFLOWSP","POSTEDTIME","FREEFLOWTI","TIME","NB_95X","SB_95X","AM_CONGTIM","OF_CONGTIM","PM_CONGTIM","AM_TRK","PM_TRK","OF_TRK","DAY_V_1","EA_V_1","AM_V_1","MD_V_1","PM_V_1","EV_V_1","AM_V","MD_V","PM_V","EV_V","EA_V","DAY_TRK","AM_DAVOL","AM_SR2VOL","AM_SR3VOL","PM_DAVOL","PM_SR2VOL","PM_SR3VOL","OF_DAVOL","OF_SR2VOL","OF_SR3VOL","CNT_TOT","CNT_Diff","pb_count_locations","index_label"
2434,0.248857,0,1220,1221,3,0.248880,42,3,1,0,3,719,0.000000,0,0,41,1,1,46,0,0,0,30500,0,0,4,3,3974,5607,9999,6648,4272,2467,0,0.779290,0.781490,0.828930,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,36.538360,45.000000,36.540000,0.331840,0.408670,0.408670,0,0,0.472460,0.473380,0.495810,141.527620,472.535980,849.198000,30318.222660,3949.685000,5499.197270,9795.443360,6873.481450,4200.414060,5569.961430,10054.274410,7109.749510,4284.635250,4031.232000,1463.261600,4522.669920,630.806520,204.193330,5192.178220,831.020570,377.746770,13978.513670,2286.258060,831.573180,30500,0,28,8
2436,0.123734,0,1220,1937,3,0.123710,99,3,1,0,3,719,0.000000,0,0,41,1,1,146,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0.602300,0.891360,1.040510,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,28.990350,45.000000,28.990000,0.164950,0.256040,0.256040,0,0,0.266920,0.334820,0.428130,257.505620,289.047670,576.130190,32547.224610,1294.144000,4176.211910,11279.393550,8779.955080,7017.519040,4304.964840,11467.784180,8924.479490,7057.771970,1353.565500,1122.683470,3330.945310,482.097020,105.664000,6979.242190,1146.393310,365.271970,15678.223630,2428.207520,908.495670,0,0,27,
1736,0.239171,0,983,1222,3,0.239200,99,2,1,0,3,690,0.000000,0,0,41,1,1,143,0,0,0,18250,0,0,4,3,1664,2236,6520,4833,2997,0,13,0.361160,0.630630,0.760320,90,0,0,0,40,1788.000000,1888.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,1699.200000,4949.174320,4949.174320,14775.652340,0,0,0.079000,34.092290,40.000000,34.090000,0.358800,0.421000,0.421000,0,0,0.422360,0.443570,0.479040,78.129390,129.654160,282.316930,15572.831050,1618.079000,1665.595830,5255.378420,4241.646000,2792.131840,1704.660520,5357.821780,4306.473140,2813.937010,1634.989000,490.100460,1275.242190,241.128630,71.095600,3049.399170,707.407470,355.185330,6949.923340,1713.686890,719.662050,18250,0,21,
1732,0.197414,0,982,1601,3,0.197400,99,3,1,0,3,690,0.000000,0,0,41,1,1,143,0,0,0,0,0,0,4,3,0,0,0,0,0,0,167,0.248220,0.345180,0.496040,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,31.559720,40.000000,31.560000,0.296100,0.375290,0.375290,0,0,0.375470,0.376240,0.381270,49.851360,85.255540,197.964650,14356.792970,1851.694000,1749.228520,4369.681640,4211.866700,2174.322020,1774.154170,4440.849120,4254.494140,2190.486820,1863.344000,333.071530,1335.927610,295.852780,67.596720,3070.884030,735.291020,320.436000,6269.356930,1457.097780,471.278530,0,0,24,
1749,0.170864,0,986,1852,3,0.170800,99,3,1,0,3,723,0.000000,0,0,41,1,1,47,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1008,0.436700,0.470580,0.500860,60,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,34.909980,40.000000,34.910000,0.256200,0.293550,0.293550,0,0,0.296010,0.297140,0.298470,233.478330,318.996150,343.522950,15898.462890,1305.290000,3004.552250,5905.358890,4136.391110,1546.870360,3121.291260,6054.209470,4295.889160,1557.554080,1317.517460,895.997440,2390.671880,307.194430,73.207680,2921.941650,662.095460,233.358060,6699.276370,1302.219850,412.500400,0,0,3,
1762,0.261284,0,990,991,3,0.261200,99,3,1,0,3,664,0.000000,0,0,41,1,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,23,0.157300,0.284070,0.383560,90,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,31.725780,40.000000,31.730000,0.391800,0.493920,0.493920,0,0,0.493940,0.494390,0.496070,92.952540,183.303500,209.254140,10512.047850,504.434000,1077.827510,3575.745850,3198.117680,2155.922610,1124.303830,3654.644040,3289.769530,2171.060790,515.024500,485.510160,745.159670,176.798320,62.917000,2269.381840,544.974550,200.457860,4710.149410,1110.937380,205.761470,0,0,31,
1764,0.344497,0,991,1229,3,0.344600,99,2,1,0,3,664,0.000000,0,0,41,1,1,0,0,0,0,17000,0,0,4,3,1272,2056,6295,4922,2456,0,25,0.475620,0.800330,0.864010,90,0,0,0,40,1788.000000,1888.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,1699.200000,4949.174320,4949.174320,14775.652340,0,0,0.079000,31.911750,40.000000,31.910000,0.516900,0.647950,0.647950,0,0,0.656300,0.763670,0.818290,135.667420,172.316560,411.826290,17674.226560,1477.407000,2177.070560,6649.838380,4807.589360,2562.321290,2244.904050,6799.603520,4893.747560,2598.514890,1497.361500,719.810300,1478.135500,395.554930,167.712650,3379.491940,888.508610,367.272310,7975.869140,1806.454830,495.416200,17001,-1,31,
1765,0.255977,0,991,1592,3,0.256000,99,3,1,0,3,723,0.000000,0,0,41,1,1,47,0,0,0,26000,0,0,4,3,2087,4807,9964,6063,3078,0,1012,0.619740,0.740110,0.712470,60,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,35.782530,40.000000,35.780000,0.384000,0.429290,0.429290,0,0,0.450370,0.480940,0.471910,155.624210,210.227010,344.405000,24757.787110,2045.323970,4351.800780,9389.904300,6005.751950,2965.006590,4429.612790,9521.897460,6110.865230,2987.759520,2062.780520,710.256230,3496.619870,549.366150,150.190600,4180.087890,1150.330810,465.106230,10538.782230,2667.172120,849.876160,25999,1,4,2
946,0.172967,0,579,996,3,0.172900,99,3,1,0,3,723,0.000000,0,0,41,1,1,147,0,0,0,25250,0,0,4,3,1867,4514,9154,6560,3156,0,1056,0.667050,0.836590,0.889420,60,0,0,0,40,2706.000000,2859.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,2573.100000,7494.538570,7494.538570,22374.783200,0,0,0.079000,34.099840,40.000000,34.100000,0.259350,0.304220,0.304220,0,0,0.325880,0.372180,0.396810,112.992760,341.059660,812.755070,28728.693360,2014.646970,4711.235840,10475.464840,7458.026370,4069.319090,4767.732420,10763.127930,7628.556150,4152.706050,2049.973880,1266.807500,3760.060060,656.734440,181.448470,5613.022460,1112.198490,391.745760,11805.595700,2987.933590,953.146120,25251,-1,5,
1105,0.218208,0,659,1001,3,0.218200,99,2,1,0,3,723,0.000000,0,0,41,1,1,47,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1022,0.747260,0.913110,0.997180,60,0,0,0,40,1788.000000,1888.000000,0.083920,0.550000,5.050000,0.343330,0.343330,0.115000,1699.200000,4949.174320,4949.174320,14775.652340,0,0,0.079000,34.099840,40.000000,34.100000,0.327300,0.383930,0.383930,0,0,0.432420,0.517360,0.592100,277.590120,399.016750,770.728760,20912.019530,1775.808960,3388.257570,7469.944340,5448.534180,2829.475100,3527.052490,7757.809080,5648.042480,2881.781740,1821.002080,1447.335570,2768.112060,259.504000,83.051250,3936.740230,796.208130,316.568790,9033.481450,1753.393550,517.624820,0,0,7,
