"","TAZ","hh","pop","emp","zero_auto","AGE0TO17","AGE18TO24","AGE25TO34","AGE35TO49","AGE50TO64","AGE65TO79","AGE80PLUS","INCOME_25K","INCOME_50K","INCOME_75K","INCOME_100K","INCOME_100KPLUS"
"1",1,715,1488,82,0,273.02752293578,40.954128440367,136.51376146789,395.889908256881,286.678899082569,245.724770642202,109.211009174312,91,286,130,65,143
"2",2,814,1687,86,0,348.111111111111,151.740740740741,116.037037037037,374.888888888889,419.518518518518,241,35.7037037037037,77.5238095238095,281.02380952381,184.119047619048,164.738095238095,106.595238095238
"3",3,926,2316,126,0,397.028571428571,132.342857142857,88.2285714285714,529.371428571429,639.657142857143,397.028571428571,132.342857142857,210.454545454545,178.886363636364,136.795454545455,220.977272727273,178.886363636364
"4",4,870,1903,294,0,349.342995169082,137.898550724638,165.478260869565,422.888888888889,496.434782608696,275.797101449275,55.159420289855,164.842105263158,210.631578947368,137.368421052632,247.263157894737,109.894736842105
"5",5,1274,3027,622,0,532.922535211268,138.55985915493,202.510563380282,671.482394366197,650.165492957746,564.897887323944,266.461267605634,307.883333333333,265.416666666667,276.033333333333,318.5,106.166666666667
"6",6,284,504,438,0,98.8235294117647,19.7647058823529,19.7647058823529,49.4117647058824,138.352941176471,118.588235294118,59.2941176470588,50.7142857142857,71,81.1428571428571,50.7142857142857,30.4285714285714
"7",7,468,822,798,0,68.5,25.6875,51.375,137,248.3125,231.1875,59.9375,41.7857142857143,75.2142857142857,125.357142857143,142.071428571429,83.5714285714286
"8",8,316,525,400,0,39.375,13.125,78.75,65.625,183.75,78.75,65.625,60.7692307692308,72.9230769230769,60.7692307692308,48.6153846153846,72.9230769230769
"9",9,96,193,129,0,0,0,0,0,74.2307692307692,89.0769230769231,29.6923076923077,24,12,24,24,12
"10",10,378,686,64,0,77.4516129032258,11.0645161290323,22.1290322580645,88.5161290322581,210.225806451613,165.967741935484,110.645161290323,73.5,63,73.5,147,21
"11",11,216,457,43,0,73.7096774193548,14.741935483871,44.2258064516129,14.741935483871,191.645161290323,103.193548387097,14.7419354838709,40.5,54,27,67.5,27
"12",12,8,14,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,0,0,1051,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,95,227,171,0,14.1875,0,0,42.5625,127.6875,28.375,14.1875,0,52.7777777777778,21.1111111111111,21.1111111111111,0
"15",15,428,925,160,0,278.398058252427,71.8446601941748,170.631067961165,242.47572815534,134.708737864078,17.9611650485437,8.98058252427199,69.6744186046512,109.488372093023,99.5348837209302,89.5813953488372,59.7209302325581
"16",16,100,286,19,0,49.7391304347826,37.304347826087,12.4347826086957,74.6086956521739,24.8695652173913,62.1739130434783,24.8695652173913,12.5,62.5,0,12.5,12.5
"17",17,519,1346,142,0,241.589743589744,149.555555555556,161.059829059829,333.623931623932,287.606837606838,115.042735042735,57.5213675213674,51.9,134.94,114.18,93.42,124.56
"18",18,268,718,86,0,58.2162162162162,38.8108108108108,155.243243243243,116.432432432432,232.864864864865,58.2162162162162,58.2162162162161,76.5714285714286,89.3333333333333,38.2857142857143,38.2857142857143,25.5238095238095
"19",19,307,897,454,0,76.5731707317073,109.390243902439,196.90243902439,164.085365853659,229.719512195122,87.5121951219512,32.8170731707316,79.2258064516129,59.4193548387097,29.7096774193548,99.0322580645161,39.6129032258065
"20",20,336,1128,2230,0,152.089887640449,164.76404494382,126.741573033708,164.76404494382,392.898876404494,76.0449438202247,50.6966292134832,75.8709677419355,21.6774193548387,54.1935483870968,119.225806451613,65.0322580645162
"21",21,676,2375,390,19,531.118143459916,250.527426160338,420.886075949367,440.928270042194,511.075949367089,170.35864978903,50.1054852320676,156,135.2,176.8,166.4,41.5999999999999
"22",22,339,1043,535,0,212.135593220339,114.906779661017,256.330508474576,203.296610169492,132.584745762712,97.228813559322,26.5169491525422,92.4545454545455,82.1818181818182,41.0909090909091,82.1818181818182,41.0909090909091
"23",23,909,1857,202,0,353.171779141104,125.319018404908,273.423312883436,330.386503067485,284.815950920245,318.993865030675,170.889570552147,291.346153846154,46.6153846153846,314.653846153846,244.730769230769,11.6538461538462
"24",24,307,727,249,2,116.32,87.24,72.7,145.4,189.02,87.24,29.08,43.8571428571429,87.7142857142857,29.2380952380952,87.7142857142857,58.4761904761905
"25",25,839,2364,377,0,670.110236220472,186.141732283465,493.275590551181,521.196850393701,400.204724409449,65.1496062992126,27.9212598425197,49.9404761904762,259.690476190476,149.821428571429,219.738095238095,159.809523809524
"26",26,648,2238,175,0,755.688311688312,222.831168831169,87.1948051948052,668.493506493507,377.844155844156,116.25974025974,9.68831168831139,58.9090909090909,216,137.454545454545,137.454545454545,98.1818181818181
"27",27,371,371,541,3,10.6,116.6,201.4,0,21.2,21.2,0,NA,NA,NA,NA,NA
"28",28,1560,3429,11347,0,370.947229551451,171.902374670185,714.75197889182,651.419525065963,986.176781002638,262.377308707124,271.424802110818,319.518072289157,385.301204819277,441.686746987952,225.542168674699,187.951807228916
