"","TAZ","hh","pop","emp","zero_auto","AGE0TO17","AGE18TO24","AGE25TO34","AGE35TO49","AGE50TO64","AGE65TO79","AGE80PLUS","INCOME_25K","INCOME_50K","INCOME_75K","INCOME_100K","INCOME_100KPLUS"
"1",1,722,1464,0,0,159.130434782609,53.0434782608696,159.130434782609,222.782608695652,307.652173913043,244,318.260869565217,156.95652173913,240.666666666667,94.1739130434783,125.565217391304,104.63768115942
"2",2,817,1701,86,0,281.822485207101,40.2603550295858,251.627218934911,412.668639053254,392.538461538461,221.431952662722,100.650887573965,122.55,337.0125,102.125,153.1875,102.125
"3",3,879,2026,122,0,360.954022988506,139.724137931034,93.1494252873563,407.528735632184,558.896551724138,349.310344827586,116.436781609195,180.616438356164,228.780821917808,216.739726027397,168.575342465753,84.2876712328766
"4",4,827,1903,297,2,425.671052631579,125.197368421053,100.157894736842,408.978070175439,534.175438596491,200.315789473684,108.504385964912,143.826086956522,170.79347826087,152.815217391304,242.70652173913,116.858695652174
"5",5,1182,2729,598,0,640.135802469136,101.074074074074,202.148148148148,539.061728395062,673.827160493827,348.144032921811,224.609053497942,264.063829787234,301.787234042553,238.914893617021,213.765957446809,163.468085106383
"6",6,213,387,438,0,35.1818181818182,0,23.4545454545455,82.0909090909091,105.545454545455,82.0909090909091,58.6363636363636,19.3636363636364,48.4090909090909,48.4090909090909,58.0909090909091,38.7272727272727
"7",7,460,843,657,0,140.5,20.0714285714286,60.2142857142857,120.428571428571,200.714285714286,160.571428571429,140.5,32.093023255814,117.674418604651,139.06976744186,117.674418604651,53.4883720930233
"8",8,254,460,165,0,97.8723404255319,19.5744680851064,0,107.659574468085,107.659574468085,88.0851063829787,39.1489361702128,31.75,84.6666666666667,84.6666666666667,31.75,21.1666666666667
"9",9,62,114,30,0,19,12.6666666666667,19,19,19,12.6666666666667,12.6666666666667,0,0,26.5714285714286,26.5714285714286,8.85714285714285
"10",10,379,689,64,0,91.3132530120482,24.9036144578313,41.5060240963855,116.21686746988,166.024096385542,166.024096385542,83.0120481927711,94.75,94.75,103.363636363636,17.2272727272727,68.9090909090909
"11",11,166,304,42,0,27.6363636363636,0,27.6363636363636,27.6363636363636,82.9090909090909,82.9090909090909,55.2727272727273,13.8333333333333,13.8333333333333,83,27.6666666666667,27.6666666666667
"12",12,8,13,5,0,0,0,13,0,0,0,0,0,0,8,0,0
"13",13,0,0,610,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,88,160,171,0,21.8181818181818,0,0,14.5454545454545,43.6363636363636,58.1818181818182,21.8181818181818,22,14.6666666666667,29.3333333333333,14.6666666666667,7.33333333333333
"15",15,117,307,160,0,51.1666666666667,40.9333333333333,61.4,71.6333333333333,40.9333333333333,20.4666666666667,20.4666666666667,0,39,39,29.25,9.75
"16",16,96,267,19,0,53.4,64.08,0,21.36,106.8,21.36,0,12,36,0,36,12
"17",17,436,1146,142,0,279.3375,100.275,143.25,265.0125,272.175,71.625,14.325,46.7142857142857,85.6428571428571,93.4285714285714,124.571428571429,85.6428571428572
"18",18,268,724,35,0,135.146666666667,144.8,154.453333333333,115.84,96.5333333333333,67.5733333333333,9.65333333333319,102.095238095238,38.2857142857143,25.5238095238095,89.3333333333333,12.7619047619047
"19",19,274,742,241,0,83.6056338028169,104.507042253521,114.957746478873,135.859154929577,219.464788732394,73.1549295774648,10.4507042253521,63.9333333333333,63.9333333333333,82.2,27.4,36.5333333333333
"20",20,299,811,2230,0,74.8615384615385,87.3384615384615,124.769230769231,137.246153846154,262.015384615385,74.8615384615385,49.9076923076923,74.75,64.0714285714286,64.0714285714286,85.4285714285714,10.6785714285714
"21",21,597,1618,390,6,229.829545454545,193.056818181818,395.306818181818,312.568181818182,358.534090909091,82.7386363636364,45.9659090909092,119.4,189.05,89.55,119.4,79.6
"22",22,289,785,252,0,157,94.2,125.6,172.7,157,62.8,15.7,197.045454545455,13.1363636363636,13.1363636363636,52.5454545454545,13.1363636363636
"23",23,914,1868,202,0,316.993939393939,158.49696969697,203.781818181818,203.781818181818,328.315151515152,430.206060606061,226.424242424242,425.116279069767,31.8837209302326,233.813953488372,201.93023255814,21.2558139534883
"24",24,304,708,118,1,79.65,26.55,132.75,115.05,230.1,88.5,35.4,77.9487179487179,101.333333333333,54.5641025641026,31.1794871794872,38.974358974359
"25",25,798,1899,286,0,497.357142857143,144.685714285714,235.114285714286,542.571428571429,298.414285714286,171.814285714286,9.04285714285743,55.0344827586207,302.689655172414,100.896551724138,183.448275862069,155.931034482759
"26",26,636,1875,49,2,514.112903225806,201.612903225806,151.209677419355,473.790322580645,423.387096774194,80.6451612903226,30.241935483871,21.9310344827586,263.172413793103,65.7931034482759,186.413793103448,98.6896551724138
"27",27,262,262,117,11,0,100.176470588235,107.882352941176,15.4117647058824,23.1176470588235,15.4117647058824,0,NA,NA,NA,NA,NA
"28",28,2,5,121,0,0,0,0,5,0,0,0,0,0,2,0,0
"29",29,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,106,230,155,0,27.0588235294118,27.0588235294118,40.5882352941176,40.5882352941176,94.7058823529412,0,0,26.5,39.75,13.25,26.5,0
"31",31,0,0,181,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,485,1168,66,0,316.333333333333,32.4444444444444,64.8888888888889,300.111111111111,283.888888888889,146,24.3333333333335,8.81818181818182,238.090909090909,79.3636363636364,97,61.7272727272727
"33",33,155,333,3,1,51.2307692307692,25.6153846153846,8.53846153846154,111,85.3846153846154,42.6923076923077,8.5384615384616,16.3157894736842,32.6315789473684,73.4210526315789,8.1578947368421,24.4736842105263
"34",34,157,342,9,0,76,28.5,85.5,95,57,0,0,19.625,39.25,19.625,39.25,39.25
"35",35,829,2006,96,0,350.040268456376,40.3892617449664,269.261744966443,403.892617449664,484.671140939597,390.429530201342,67.3154362416108,87.9242424242424,301.454545454545,113.045454545455,188.409090909091,138.166666666667
"36",36,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,0,0,317,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,377,890,41,0,211.375,66.75,133.5,233.625,189.125,44.5,11.125,35.34375,141.375,70.6875,35.34375,94.25
"39",39,109,281,526,0,43.90625,17.5625,61.46875,61.46875,87.8125,8.78125,0,21.8,29.0666666666667,36.3333333333333,14.5333333333333,7.26666666666667
"40",40,507,1233,4213,0,270.886363636364,84.0681818181818,261.545454545455,289.568181818182,205.5,112.090909090909,9.34090909090901,64.7234042553191,118.659574468085,151.021276595745,118.659574468085,53.936170212766
"41",41,281,659,13,20,180.440476190476,15.6904761904762,54.9166666666667,156.904761904762,149.059523809524,86.297619047619,15.6904761904763,42.5757575757576,68.1212121212121,68.1212121212121,42.5757575757576,59.6060606060606
"42",42,0,0,1292,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,448,1175,767,0,332.743362831858,114.380530973451,187.16814159292,239.159292035398,197.566371681416,72.787610619469,31.1946902654868,62.2222222222222,124.444444444444,112,87.1111111111111,62.2222222222223
