"ID","Longitude","Latitude","TAZ_REG","TAZ_OLD05","TAZ_MPO","COUNTY","CENSUSTAZ","TAZ_BF","FIX","AREA","F_NETAREA","CBD","HM_ROOMS","AirSageDistrict"
2775,-80299208,25742387,3938.000000,0,1038,3.000000,"1208600001038",3838,0,10731300.00000000000,0.770500,0,0,61
2776,-80299585,25752028,3939.000000,0,1039,3.000000,"1208600001039",3839,0,7556670.00000000000,0.737700,0,0,61
2777,-80175177,25947795,3004.000000,0,104,3.000000,"1208600000104",2904,0,13076200.00000000000,0.404700,0,0,3
2778,-80299783,25759557,3940.000000,0,1040,3.000000,"1208600001040",3840,0,6998150.00000000000,0.730500,0,31,61
2779,-80291725,25759801,3941.000000,0,1041,3.000000,"1208600001041",3841,0,7022960.00000000000,0.713800,0,15,61
2780,-80291468,25752249,3942.000000,0,1042,3.000000,"1208600001042",3842,0,7636390.00000000000,0.771300,0,0,61
2781,-80281586,25760316,3943.000000,0,1043,3.000000,"1208600001043",3843,0,10192000.00000000000,0.730200,0,0,61
2782,-80281304,25752757,3944.000000,0,1044,3.000000,"1208600001044",3844,0,12070500.00000000000,0.777600,0,0,61
2783,-80271072,25753010,3945.000000,0,1045,3.000000,"1208600001045",3845,0,7916990.00000000000,0.745600,0,0,61
2784,-80271355,25760546,3946.000000,0,1046,3.000000,"1208600001046",3846,0,6995390.00000000000,0.755100,0,24,61
2785,-80265086,25758023,3947.000000,0,1047,3.000000,"1208600001047",3847,0,6225970.00000000000,0.719900,0,56,61
2786,-80264837,25750540,3948.000000,0,1048,3.000000,"1208600001048",3848,0,1147610.00000000000,0.683700,0,0,61
2787,-80260717,25750750,3949.000000,0,1049,3.000000,"1208600001049",3849,0,1238180.00000000000,0.718600,0,0,61
2788,-80173405,25954876,3005.000000,0,105,3.000000,"1208600000105",2905,0,10152400.00000000000,0.840600,0,0,3
2789,-80256671,25750993,3950.000000,0,1050,3.000000,"1208600001050",3850,0,1263570.00000000000,0.631000,0,313,61
2790,-80256786,25754088,3951.000000,0,1051,3.000000,"1208600001051",3851,0,1789500.00000000000,0.674200,0,25,61
2791,-80260827,25753875,3952.000000,0,1052,3.000000,"1208600001052",3852,0,1886940.00000000000,0.686800,0,151,61
2792,-80261087,25760148,3953.000000,0,1053,3.000000,"1208600001053",3853,0,4245730.00000000000,0.748000,0,0,61
2793,-80256980,25760301,3954.000000,0,1054,3.000000,"1208600001054",3854,0,4186770.00000000000,0.725400,0,117,61
2794,-80250963,25761089,3955.000000,0,1055,3.000000,"1208600001055",3855,0,7202000.00000000000,0.794100,0,13,61
2795,-80250616,25753682,3956.000000,0,1056,3.000000,"1208600001056",3856,0,7198830.00000000000,0.776600,0,0,61
2796,-80242518,25754410,3957.000000,0,1057,3.000000,"1208600001057",3857,0,7735320.00000000000,0.733100,0,0,61
2797,-80242809,25761339,3958.000000,0,1058,3.000000,"1208600001058",3858,0,6820310.00000000000,0.687100,0,0,61
2798,-80234621,25761590,3959.000000,0,1059,3.000000,"1208600001059",3859,0,7174750.00000000000,0.725900,0,26,61
2799,-80188324,25952844,3006.000000,0,106,3.000000,"1208600000106",2906,0,11163800.00000000000,0.939200,0,0,3
2800,-80234344,25754225,3960.000000,0,1060,3.000000,"1208600001060",3860,0,7291520.00000000000,0.706300,0,0,61
2801,-80226191,25754403,3961.000000,0,1061,3.000000,"1208600001061",3861,0,7238160.00000000000,0.668000,0,0,61
2802,-80226491,25761864,3962.000000,0,1062,3.000000,"1208600001062",3862,0,7159610.00000000000,0.744300,0,0,61
2803,-80218370,25761802,3963.000000,0,1063,3.000000,"1208600001063",3863,0,7617120.00000000000,0.736200,0,0,61
2804,-80218232,25754418,3964.000000,0,1064,3.000000,"1208600001064",3864,0,6549630.00000000000,0.743000,0,0,61
2805,-80209577,25757174,3965.000000,0,1065,3.000000,"1208600001065",3865,0,8257700.00000000000,0.739300,0,0,61
2806,-80215762,25749266,3966.000000,0,1066,3.000000,"1208600001066",3866,0,1532560.00000000000,0.597000,0,0,61
2807,-80214145,25745062,3967.000000,0,1067,3.000000,"1208600001067",3867,0,6744300.00000000000,0.725000,0,0,7
2810,-80193655,25949499,3007.000000,0,107,3.000000,"1208600000107",2907,0,10822000.00000000000,0.781700,0,0,3
2811,-80229756,25738837,3970.000000,0,1070,3.000000,"1208600001070",3870,0,11137700.00000000000,0.693900,0,4,7
2812,-80222366,25747073,3971.000000,0,1071,3.000000,"1208600001071",3871,0,8271540.00000000000,0.736700,0,0,61
2813,-80234073,25745412,3972.000000,0,1072,3.000000,"1208600001072",3872,0,8584050.00000000000,0.748300,0,0,61
2814,-80242190,25746773,3973.000000,0,1073,3.000000,"1208600001073",3873,0,6743270.00000000000,0.760000,0,0,61
2815,-80250386,25746552,3974.000000,0,1074,3.000000,"1208600001074",3874,0,6768640.00000000000,0.793300,0,75,61
2816,-80256576,25748486,3975.000000,0,1075,3.000000,"1208600001075",3875,0,1184650.00000000000,0.767400,0,0,61
2817,-80260660,25748217,3976.000000,0,1076,3.000000,"1208600001076",3876,0,1196760.00000000000,0.764700,0,0,61
2818,-80258465,25744703,3977.000000,0,1077,3.000000,"1208600001077",3877,0,4355100.00000000000,0.716300,0,0,61
2819,-80264623,25745709,3978.000000,0,1078,3.000000,"1208600001078",3878,0,3576980.00000000000,0.704600,0,0,61
